iter	Passed	Remaining
837	39479	46499
838	39533	46459
839	39579	46411
840	39629	46368
841	39677	46322
842	39723	46273
843	39767	46222
844	39810	46171
845	39861	46127
846	39907	46079
847	39955	46033
848	40001	45985
849	40049	45938
850	40098	45894
851	40145	45847
852	40199	45807
853	40249	45763
854	40293	45713
855	40344	45670
856	40392	45624
857	40441	45579
858	40490	45534
859	40537	45487
860	40584	45439
861	40634	45395
862	40682	45348
863	40730	45302
864	40778	45256
865	40825	45209
866	40870	45159
867	40915	45110
868	40963	45064
869	41012	45019
870	41061	44974
871	41113	44932
872	41162	44887
873	41212	44843
874	41255	44791
875	41300	44742
876	41345	44693
877	41394	44647
878	41444	44603
879	41491	44556
880	41537	44507
881	41581	44457
882	41626	44408
883	41674	44362
884	41725	44318
885	41772	44271
886	41821	44226
887	41871	44181
888	41917	44133
889	41963	44085
890	42005	44032
891	42051	43984
892	42100	43938
893	42145	43890
894	42194	43845
895	42239	43794
896	42284	43745
897	42334	43701
898	42377	43650
899	42425	43604
900	42476	43561
901	42524	43514
902	42567	43462
903	42615	43417
904	42658	43365
905	42707	43320
906	42754	43273
907	42800	43225
908	42851	43181
909	42897	43132
910	42944	43086
911	42994	43041
912	43041	42993
913	43083	42941
914	43131	42895
915	43174	42844
916	43219	42795
917	43264	42746
918	43310	42697
919	43357	42650
920	43400	42599
921	43445	42550
922	43487	42497
923	43536	42453
924	43582	42404
925	43630	42358
926	43679	42313
927	43724	42263
928	43771	42216
929	43811	42162
930	43859	42116
931	43904	42066
932	43951	42020
933	43999	41973
934	44041	41922
935	44087	41873
936	44128	41821
937	44176	41774
938	44221	41725
939	44269	41679
940	44315	41631
941	44361	41582
942	44397	41525
943	44446	41480
944	44494	41434
945	44538	41384
946	44584	41336
947	44631	41289
948	44677	41241
949	44726	41195
950	44775	41150
951	44823	41104
952	44871	41057
953	44917	41009
954	44964	40962
955	45010	40914
956	45058	40868
957	45103	40818
958	45153	40774
959	45198	40725
960	45241	40674
961	45290	40629
962	45337	40582
963	45389	40539
964	45438	40494
965	45483	40445
966	45536	40404
967	45583	40356
968	45631	40310
969	45681	40265
970	45728	40218
971	45778	40173
972	45828	40129
973	45877	40083
974	45929	40040
975	45978	39995
976	46031	39953
977	46084	39911
978	46155	39885
979	46228	39860
980	46307	39840
981	46388	39822
982	46457	39793
983	46540	39777
984	46612	39750
985	46692	39731
986	46754	39696
987	46816	39661
988	46876	39624
989	46937	39588
990	47001	39555
991	47069	39525
992	47134	39492
993	47194	39455
994	47263	39425
995	47336	39399
996	47406	39370
997	47485	39349
998	47552	39317
999	47614	39281
1000	47682	39251
1001	47735	39207
1002	47785	39162
1003	47837	39117
1004	47887	39072
1005	47934	39024
1006	47980	38975
1007	48030	38929
1008	48092	38893
1009	48157	38859
1010	48222	38825
1011	48309	38810
1012	48382	38782
1013	48450	38751
1014	48515	38716
1015	48586	38687
1016	48648	38650
1017	48711	38615
1018	48818	38614
1019	48881	38578
1020	48960	38554
1021	49011	38509
1022	49060	38461
1023	49115	38419
1024	49161	38370
1025	49214	38326
1026	49262	38277
1027	49310	38230
1028	49355	38179
1029	49403	38131
1030	49449	38082
1031	49501	38037
1032	49548	37989
1033	49598	37942
1034	49647	37895
1035	49699	37849
1036	49744	37800
1037	49792	37752
1038	49842	37705
1039	49889	37656
1040	49929	37603
1041	49980	37557
1042	50025	37507
1043	50077	37462
1044	50122	37412
1045	50174	37367
1046	50227	37322
1047	50279	37278
1048	50336	37236
1049	50402	37201
1050	50501	37191
1051	50585	37169
1052	50636	37123
1053	50691	37080
1054	50767	37052
1055	50828	37014
1056	50887	36974
1057	50945	36932
1058	51007	36894
1059	51088	36870
1060	51187	36859
1061	51251	36821
1062	51320	36788
1063	51372	36742
1064	51427	36699
1065	51508	36674
1066	51584	36645
1067	51646	36607
1068	51704	36565
1069	51760	36522
1070	51818	36480
1071	51869	36434
1072	51924	36390
1073	51978	36346
1074	52037	36305
